"person","birthDate","deathDate","personName","personEcartico","birthPlaceEcartico","dbnl","birthPlace"
"http://www.vondel.humanities.uva.nl/ecartico/persons/10067","1584-02-12","1648-01-14","Caspar Barleus","http://www.vondel.humanities.uva.nl/ecartico/persons/10067","http://www.vondel.humanities.uva.nl/ecartico/places/13","http://www.wikidata.org/entity/Q728991","Antwerpen"
"http://www.vondel.humanities.uva.nl/ecartico/persons/10067","1584-02-12","1648-01-14","Caspar Barleus","http://www.vondel.humanities.uva.nl/ecartico/persons/10067","http://www.vondel.humanities.uva.nl/ecartico/places/13","http://viaf.org/viaf/29555944","Antwerpen"
"http://www.vondel.humanities.uva.nl/ecartico/persons/10067","1584-02-12","1648-01-14","Caspar Barleus","http://www.vondel.humanities.uva.nl/ecartico/persons/10067","http://www.vondel.humanities.uva.nl/ecartico/places/13","http://data.bibliotheken.nl/id/dbnla/barl001","Antwerpen"
"http://www.vondel.humanities.uva.nl/ecartico/persons/10067","1584-02-12","1648-01-14","Caspar Barleus","http://www.vondel.humanities.uva.nl/ecartico/persons/10067","http://www.vondel.humanities.uva.nl/ecartico/places/13","http://data.bibliotheken.nl/id/thes/p06866544X","Antwerpen"
"http://www.vondel.humanities.uva.nl/ecartico/persons/10067","1584-02-12","1648-01-14","Caspar Barleus","http://www.vondel.humanities.uva.nl/ecartico/persons/10067","http://www.vondel.humanities.uva.nl/ecartico/places/13","http://ta.sandrart.net/-person-1470","Antwerpen"
"http://www.vondel.humanities.uva.nl/ecartico/persons/10067","1584-02-12","1648-01-14","Caspar Barleus","http://www.vondel.humanities.uva.nl/ecartico/persons/10067","http://www.vondel.humanities.uva.nl/ecartico/places/13","http://www.biografischportaal.nl/persoon/23041637","Antwerpen"
"https://data.create.humanities.uva.nl/id/schrijverskabinet/person/jacob-cats","1577","1660","Jacob Cats","http://www.vondel.humanities.uva.nl/ecartico/persons/12828","http://www.vondel.humanities.uva.nl/ecartico/places/900","http://www.wikidata.org/entity/Q46151","Brouwershaven"
"https://data.create.humanities.uva.nl/id/schrijverskabinet/person/jacob-cats","1577","1660","Jacob Cats","http://www.vondel.humanities.uva.nl/ecartico/persons/12828","http://www.vondel.humanities.uva.nl/ecartico/places/900","http://viaf.org/viaf/29577792","Brouwershaven"
"https://data.create.humanities.uva.nl/id/schrijverskabinet/person/jacob-cats","1577","1660","Jacob Cats","http://www.vondel.humanities.uva.nl/ecartico/persons/12828","http://www.vondel.humanities.uva.nl/ecartico/places/900","http://data.bibliotheken.nl/id/dbnla/cats001","Brouwershaven"
"https://data.create.humanities.uva.nl/id/schrijverskabinet/person/jacob-cats","1577","1660","Jacob Cats","http://www.vondel.humanities.uva.nl/ecartico/persons/12828","http://www.vondel.humanities.uva.nl/ecartico/places/900","http://data.bibliotheken.nl/id/thes/p069112894","Brouwershaven"
"https://data.create.humanities.uva.nl/id/schrijverskabinet/person/jacob-cats","1577","1660","Jacob Cats","http://www.vondel.humanities.uva.nl/ecartico/persons/12828","http://www.vondel.humanities.uva.nl/ecartico/places/900","http://vocab.getty.edu/ulan/500315575","Brouwershaven"
"https://data.create.humanities.uva.nl/id/schrijverskabinet/person/jacob-cats","1577","1660","Jacob Cats","http://www.vondel.humanities.uva.nl/ecartico/persons/12828","http://www.vondel.humanities.uva.nl/ecartico/places/900","http://ta.sandrart.net/-person-2567","Brouwershaven"
"https://data.create.humanities.uva.nl/id/schrijverskabinet/person/jacob-cats","1577","1660","Jacob Cats","http://www.vondel.humanities.uva.nl/ecartico/persons/12828","http://www.vondel.humanities.uva.nl/ecartico/places/900","http://www.biografischportaal.nl/persoon/03358218","Brouwershaven"
"https://data.create.humanities.uva.nl/id/schrijverskabinet/person/jacob-cats","1577","1660","Jacob Cats","http://www.vondel.humanities.uva.nl/ecartico/persons/12828","http://www.vondel.humanities.uva.nl/ecartico/places/900","http://anet.be/record/stcvopac/a::920.3905","Brouwershaven"
"http://www.vondel.humanities.uva.nl/ecartico/persons/12828","1577-11-10","1660-09-12","Jacob Cats","http://www.vondel.humanities.uva.nl/ecartico/persons/12828","http://www.vondel.humanities.uva.nl/ecartico/places/900","http://www.wikidata.org/entity/Q46151","Brouwershaven"
"http://www.vondel.humanities.uva.nl/ecartico/persons/12828","1577-11-10","1660-09-12","Jacob Cats","http://www.vondel.humanities.uva.nl/ecartico/persons/12828","http://www.vondel.humanities.uva.nl/ecartico/places/900","http://viaf.org/viaf/29577792","Brouwershaven"
"http://www.vondel.humanities.uva.nl/ecartico/persons/12828","1577-11-10","1660-09-12","Jacob Cats","http://www.vondel.humanities.uva.nl/ecartico/persons/12828","http://www.vondel.humanities.uva.nl/ecartico/places/900","http://data.bibliotheken.nl/id/dbnla/cats001","Brouwershaven"
"http://www.vondel.humanities.uva.nl/ecartico/persons/12828","1577-11-10","1660-09-12","Jacob Cats","http://www.vondel.humanities.uva.nl/ecartico/persons/12828","http://www.vondel.humanities.uva.nl/ecartico/places/900","http://data.bibliotheken.nl/id/thes/p069112894","Brouwershaven"
"http://www.vondel.humanities.uva.nl/ecartico/persons/12828","1577-11-10","1660-09-12","Jacob Cats","http://www.vondel.humanities.uva.nl/ecartico/persons/12828","http://www.vondel.humanities.uva.nl/ecartico/places/900","http://vocab.getty.edu/ulan/500315575","Brouwershaven"
